City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,37.49,88,64,2.71,GL,1722884042
1,blackmans bay,-43.0167,147.3167,50.74,74,100,1.99,AU,1722884043
2,kone,-21.0595,164.8658,58.03,78,8,3.67,NC,1722884044
3,puerto natales,-51.7236,-72.4875,34.25,86,40,2.3,CL,1722883853
4,makushino,55.2103,67.2442,64.22,84,100,7.38,RU,1722884047
5,hamilton,39.1834,-84.5333,93.78,53,0,9.22,US,1722884048
6,port elizabeth,-33.918,25.5701,56.32,65,0,8.05,ZA,1722884049
7,udachny,66.4167,112.4,50.56,88,100,17.65,RU,1722884050
8,albany,42.6001,-73.9662,86.36,63,96,1.01,US,1722883851
9,aykhal,66.0,111.5,48.04,86,65,15.23,RU,1722884052
10,puerto ayora,-0.7393,-90.3518,76.96,78,59,11.9,EC,1722884053
11,georgetown,5.4112,100.3354,84.13,78,20,2.3,MY,1722883736
12,howard springs,-12.497,131.047,73.31,88,10,5.77,AU,1722884056
13,belvedere marittimo,39.6179,15.8617,82.11,73,0,2.66,IT,1722884057
14,pisco,-13.7,-76.2167,66.25,72,1,9.22,PE,1722884059
15,adamstown,-25.066,-130.1015,67.08,65,21,12.28,PN,1722884060
16,dubove,48.1721,23.8895,60.06,98,100,0.67,UA,1722884061
17,margaret river,-33.95,115.0667,61.3,84,99,17.05,AU,1722884062
18,gebeit,21.0667,36.3167,84.07,57,100,10.78,SD,1722884063
19,grytviken,-54.2811,-36.5092,17.04,76,100,10.74,GS,1722884064
20,gurupi,-11.7292,-49.0686,92.34,20,0,7.74,BR,1722884065
21,west island,-12.1568,96.8225,76.98,78,40,5.75,CC,1722884066
22,ribeira grande,38.5167,-28.7,81.0,78,20,12.66,PT,1722884067
23,tromso,69.6496,18.957,69.82,52,20,10.36,NO,1722884068
24,yellowknife,62.456,-114.3525,68.41,56,75,10.0,CA,1722884069
25,souda,35.4844,24.0744,106.61,61,0,0.0,GR,1722884070
26,waitangi,-43.9535,-176.5597,48.81,93,86,5.01,NZ,1722884071
27,pionerskiy,54.9508,20.2275,66.04,83,14,11.56,RU,1722884072
28,vernon,50.2581,-119.2691,88.61,32,0,2.3,CA,1722884073
29,tiksi,71.6872,128.8694,52.41,76,100,5.73,RU,1722884074
30,lihue,21.9789,-159.3672,80.74,71,0,11.5,US,1722884075
31,haiku-pauwela,20.9219,-156.3051,80.26,72,0,14.97,US,1722884076
32,alotau,-10.3069,150.4462,73.47,96,99,4.59,PG,1722884077
33,vorgashor,67.5833,63.95,43.2,72,6,6.78,RU,1722884078
34,tukrah,32.5341,20.5791,82.65,69,0,8.88,LY,1722884079
35,east london,-33.0153,27.9116,52.74,66,0,6.91,ZA,1722884080
36,ust-nera,64.5667,143.2,52.77,66,99,4.65,RU,1722884081
37,ushuaia,-54.8,-68.3,31.66,69,20,0.0,AR,1722883913
38,callao,-12.0667,-77.15,72.43,81,69,14.09,PE,1722884083
39,angra do heroismo,38.65,-27.2167,83.01,82,40,7.0,PT,1722884084
40,viedma,-40.8135,-62.9967,65.91,21,100,12.57,AR,1722884085
41,avarua,-21.2078,-159.775,75.25,83,2,9.22,CK,1722884086
42,nova sintra,14.8667,-24.7167,81.61,71,42,4.63,CV,1722884087
43,port saint john's,-31.6229,29.5448,57.06,71,0,6.4,ZA,1722884088
44,hawaiian paradise park,19.5933,-154.9731,80.73,79,97,1.01,US,1722884089
45,broome,42.2506,-75.833,85.69,59,100,11.99,US,1722884090
46,port-aux-francais,-49.35,70.2167,33.82,72,12,12.39,TF,1722884093
47,edinburgh of the seven seas,-37.0676,-12.3116,56.73,91,92,24.65,SH,1722884094
48,ola,59.5833,151.2833,54.32,85,100,2.84,RU,1722884095
49,praia da vitoria,38.7333,-27.0667,82.65,69,40,7.16,PT,1722884096
50,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,2.24,RU,1722884097
51,bredasdorp,-34.5322,20.0403,47.8,83,0,7.7,ZA,1722884098
52,port macquarie,-31.4333,152.9167,54.07,99,100,1.99,AU,1722884100
53,tsiombe,-25.3,45.4833,64.87,91,5,2.01,MG,1722884101
54,al bawiti,28.3492,28.8659,87.67,21,3,5.28,EG,1722884104
55,san antonio de pale,-1.4014,5.6325,71.96,75,100,9.69,GQ,1722884105
